hotel_name,user_name,user_contribution,heading,review
Hotel Palace Heights,Marian D,6,Wonderful Stay,We booked this hotel for three nights after looking at reviews in the Lonely Planet and TripAdvisor. We were pleasantly surprised at the warm welcome and great service we received throughout our stay. Staff went above and beyond to look after us. The food in...
Hotel Palace Heights,Dan J,12,Great Location and Friendly Staff,I stayed here 2 nights and it was excellent. The staff is very friendly and helped me find my way around. They gave me great restaurant recommendations. Subway is close by and easy to navigate. Of course the street touts are out and about nearby....
Hotel Palace Heights,russell520,17,"Great location, friendly staff","I had a great experience at the Hotel Palace Heights. It's just a stone's throw from Gate 3 in the Rajiv Chowk metro station, so it's a very convenient location for those using public transportation. I had several tours in Delhi, and since many of..."
Hotel Palace Heights,Moira F,28,Best way to spend our last night in India,"Wonderful hotel, best of service, staff couldn't be more helpful, room spotless, great location for Connaught Place and plenty tuk tuks outside. Food in the restaurant was best we have had in India. Superb menu. And it was my birthday and they gae me a..."
Hotel Palace Heights,Tony_Detroit,10,Great Place!,"Great place.  The Connaught Place location is a great one for travelers.  It's *relatively* safe, clean and rich with bars, stores, and restaurants.  The hotel's service is great.  Everyone is exceptional courteous and helpful.  Their willingness to call you taxis (Uber) tuk-tuks and put you..."
Hotel City Star,Anand K,1,Anand,"Hotel ambiece & hospitality is good. Neatly maintained. For breakfast, if south Indian dish is added, it would be still better. I could see many south Indian guests. Roof top restaurant is good. I would visit here for my next stay in Delhi."
Hotel City Star,Lorraine R,136,Good Value for money,The room was clean and adequate for the amount charged. The doorman was wonderful getting us a rickshaw at a fabulous price & ensuring that we weren't overcharged. Breakfast in the morning was only marred by on the 1st morning having party rave music blaring...
Hotel City Star,Lionsmaine,226,# 1 Reviewer - GREAT PLACE TO STAY,"GOOD -  Rooms were surprisingly nice, modern and comfortable.  Bed was great.  The reception on arrival was excellent. Very clean hotel, quiet rooms, free Wi fi.  Lift, restaurant top floor, modern bathroom, money exchange available.  Food was ok.

BAD - Outside area of restaurant was..."
Hotel City Star,JChristaPierce,16,Excellent Hotel,"After staying in Mumbai for a week, coming to Dehli and staying in this part of the city was a bit of a surprise. After walking around for the day, it’s easy enough to get to different parts of the city (I suggest Sam’s Bar..."
Hotel City Star,Jeremy R,14,"Clean, cool, calm","We stayed here at the beginning and end of our trip to Delhi, Jaipur and Agra. Clean and tidy, air con as a relief from 40 degree heat. We ate at the terrace restaurant a couple of times and had great meals - tandoori cauliflower..."
Roseate House New Delhi,Sibhi S,1,Hospitality at its best,I must say this hotel took me by surprise. If i had to describe the experience in one word it would be exquisite . Everything from begining to end was perfect that includes the service the food the pool the view and of course the...
Roseate House New Delhi,Janelle M,7,Most luxurious hotel I've ever stayed at!!,"Roseate house was incredible. We got a free upgrade to a suite and our room was massive. Our bathroom alone was the size of most hotel rooms with a steam shower, enormous bathtub, and double vanity. We had a living room with fresh fruit replenished..."
